CARQUIVO_0118082014201432RODRIGO CHAVES                                                                                                                                                                 
2439AUeBqfqeU1                    ptQszuKBkqPFvAQqeSZnQGmpvesFAayXTFiNUZ1                                                                                                               1808201400002395
1896ANWlHLq1                      JnamhBKAPUkVTKoAMBkJCoxEkLQomGfQfJIZYSaRZItzzHbCEeDTtvRbqKKNCptfwasLbiKLWjPLtshWYkJSdTYktGSJKKajNgljCsopqhioFbPziQJLywOQP1                            1808201400002867
5480vVyUU1                        BOQScCTDAOaSxmufGrEKmqDbxOdodgHPxduBDNklYvSiIcFpfUyjYzLzFPaffwEIdZdHYvZqGeVvxhPXihXIHhfImTGzAt1                                                       1808201400002346
8782SjSrKzNGGw1                   pQOjwFnFbgpgcRnGELsWKTWQCESfoTnmzbQQWnqYYOJkCtnEPcCwslisesVLBuvSqPcIXXfQZWmIHSlukJnZuaQEnATVpXHhfyKqh1                                                1808201400032467
3295NXXE1                         UGuSISaTZszMzLtVLNJCtKqJIOvDvF1                                                                                                                       1808201400010122
1049eSwMuzKBHcUzqgvODT1           QIGqsbLHqncTpkhLSZfKindpxScOmpynYwlaTRRAYZMaAJwlKfzvZpUciftDYzifgCbFJtEwqiNaXLVxZDGaKcrzdPJZQJGbuBZZQNFRUsQVHpN1                                      1808201400015305
59341                             YRZDVFiBURNHbqJgyhYmygQmCGbDRJCnFRlUsV1                                                                                                               1808201400017990
37381                             fszBtNTmHCMsoRaIezTqzAxErTqULIFDFPutAxKGvTKbNchafIxjwTPwObUDJQsTRaCbyUdkUofYqYFrODdgnQEwHJHkdGUklqatsBefPvOpRQXPDzVH1                                 1808201400037244
6087axkUMsikyXcBkuGiSBp1          ydcyFFPKfGZUZtBhGVTjEtDrSGaqkFHthRKfLMKdTqbrxZpdNdzISMnTWgNTlkeeGBUzycxfqltzvutjJJXxrZsRFHTheEjoBnrySbeuUvmj1                                         1808201400025351
4925c1                            RyNiSSXzAVlBSFHQdCVhvOnjhkBlqYDPWdIrmSKVJexWiQN1                                                                                                      1808201400009698
1395ewucDISuH1                    qfxMKUanIwLBDYmQkoJuyxzbKDJELGnHncZBxOVyePNtqCPebRq1                                                                                                  1808201400023186
7472tprFGSlQZBxvOwYxE1            XrVofDxqFv1                                                                                                                                           1808201400007987
9644bHSWzfj1                      LCXfXdNBAtNxARxAywOSrRGHslqCUgtaUllikCHMrqlzHeMwtbMbOWwlhxhGmiRBvOBvTvpweHFyqyIpFXISPDvzCpKMPVQDgPE1                                                  1808201400004089
9564SIEHo1                        uZfzAHDPMGxGRKxYjzIUQYTPlzSDRWpCCjGXJMhONhWZnOGcFaJdkBxziOGPeCqOUUqreOikqmWoXNTOSxSqJZiVzocvZcXKOtLsoaRNTVNsMSGdoaKbDQzKWDBGLHXtfoAwRqSWqiaI1         1808201400017838
1894QTVnWqMesXMjONHQMXMLjMdg1     atdCXVUNghskCAhvwpYXLuUeddUuBqNJ1                                                                                                                     1808201400021914
7706lKIZEf1                       aulgtRnaamPpYgLORKAbSrZFOozZlZrYVwxLuptRALVOuuLEKYSpuqpNKLuEiYAYBQjWprLksuMrfHCjfiuxpAX1                                                              1808201400018797
8527EjwxzASTWRFbvfJtpjIkHmuBOh1   oBfHHDJdNfFkPJPFIPSHeydaIeylorTzVuUMVmmrr1                                                                                                            1808201400003991
1543XEPyIpHOTBPdK1                GnZFnaQubdbIfUpAeujPYYYorcpovxMUoWSlxhYAjltGwUUsvYFcMByMHqEMgOTaUwuPeLhFxlNayJtIqTYubTbrPOHLdUPYsYINFJpuFMbUaElqMuTeUEkPNpcuYyUKrZtijRgtA1            1808201400027868
1353r1                            rqleGipZEbhKQbNYONFXnFjmRQOcUHfCVycXeuJDVWcTKCtUBKwxiYGihyJBkpamoEeFFjGZdCMCoRdtRVEfPWYX1                                                             1808201400029373
3620UxlHqN1                       mVRBZvyhHBSbyacACvSqWKW1                                                                                                                              1808201400005983
8528thLffpkKwjLnzQoUFRpRQoXVLbSI1 Rg1                                                                                                                                                   1808201400002147
6811O1                            qVuCSFmOgGzfl1                                                                                                                                        1808201400001785
9541qp1                           ykQZiaLNISpwBKcyzKtcCNmZnsScoJQBvIsexwsBnqusBAgkSWfcYlVDYWeGHOFPRnlErJZDbDflqTkCUdvRTdibEkQixiwVaHREnaqwSF1                                           1808201400008153
0552nmRySPHzbv1                   clTKCXmkGPMGAftrsXwLbKxOKYqLIpXyw1                                                                                                                    1808201400012118
2556EPr1                          uKpRVpHmIRcMGvnFAbVnueqGrOphQiVrOwIMLcEMocdRNUzMmshZJNMMoLd1                                                                                          1808201400005794
4813PQqIePoICXfYBJTN1             mIhvnHKSVHvLbHdAUAAuHIvbSDxNvUNeJNXrBdoOGwVNB1                                                                                                        1808201400018338
2565ABFmCAjdEyDsytzToAaLwwfdWYK1  QTWXAnErTlkSVVwowswMNHmLxFDOVhWeejCVrLneoUWFceEWYSKCwLpkYidWyICinpnhmRELkJsR1                                                                         1808201400041292
8663uRAspMWDsQmy1                 nDikgggktMkUUNSSytPYyjNpedLrvpAjcvWGdNqSSViiAjnBuAxREUJjTFonsoAVIBOmIvbXYAPMIMapsZZLUcMPDvBQwOGouip1                                                  1808201400021590
4167aLjB1                         USrSGbcbeQlNs1                                                                                                                                        1808201400004540
1799WueAuWTtVNCHWlyFE1            SrIWRcyFQHfTeKiwpSvKXqfhTUwFYMGGoGKFlpHOvWRqhlFpPNLxzdZwtICxJUQvqtwzvRUHiiUtBtFLRKJEfvfmlgSbLZVpjwCtcImsZuujeQhSUTyLaBmhsinTWgeDBrWHq1                1808201400002269
9240ryIvg1                        ZePWsCZvDgPiHBGqriNAsPKjlFwZoOfCpzziKjf1                                                                                                              1808201400031698
0983Fifrjnp1                      IZEjTHKJgayfOfWqhFzqaNZRKpOwgwktPUSeybsBfHCpKoFEaX1                                                                                                   1808201400037130
56251                             ycMDbAaZYHUfoKgQOnnAkMgzvunJNsJyKyrQRdhWnyvNUbzPvKT1                                                                                                  1808201400016776
5305ipxM1                         UnhDsUtbZdFbLZQIbzCdeUEmjuYXQpIQsiIbWjCkordlIQaQpwJVpuhHYTSNPRFxLtupZJgdmTJEzQpmWfm1                                                                  1808201400020077
54941                             DQYTWdMevMnVWhfUYxnGKpZyMgWMwsecEDxihZOkkHkjeHgL1                                                                                                     1808201400006007
0793JNPJzykeqqyQLXfHn1            benXkSIwhNgSQSNIntcMAZZImDAcKzHaRuuITQinfQWXKgeKhGkmNFQAvZzqAbxYqFPaMkzVBoFLbEqFMYT1                                                                  1808201400011243
9888hNAgkW1                       tVdACNnofNMRhWYdKJfyetWCNeLOVCUOMNx1                                                                                                                  1808201400017312
5343UdqoWhWgnyLh1                 FLxaoZBZpqFONSjNBSVddktVEUhuLclWOyVbbCnYmKDge1                                                                                                        1808201400003916
1613vskMkxwy1                     AUlqHrIhQdzlcBDeGcUGdSHyMNTvyFCRKuANMNJtTXEYPxcNiHNtVpFvhAvjIgvIX1                                                                                    1808201400019541
3227EklOFnhWbLmILCF1              VZuFwEfhbAKQwnMXAwDlvqKovqkHpTJDgFSreIirWYpKpUjjFQpXOStkRvKyPFSbAhXoQcljGT1                                                                           1808201400000275
1167rDcdaILLGuxWEobFxi1           ZFyxDmIdllHhWyopGAeiXuHjKMNamEjRrHMfxQv1                                                                                                              1808201400015748
6585OORSwKbiajPqbeScBsUQlbBkChTW1 bJyaYrVmJvhiLDoCMlcNwsYpnbqFnCroXZfPKdIwPRxQnFpsvRxMKjcxJGDWbmeBCjyiYNmOhKUgFewtyuIItbzitNKSjLEKCfwbQfjCxcqIqFSycguyMkwgUw1                           1808201400003933
7540tKACCS1                       FNoONKtUKbILekKqUBfGMgAVesuWfCjNalYXfGrThlopoeVnSWonZnjRAfajrzjFgSSRuGREbOLOSZCiJeBnBjh1                                                              1808201400000000
1171xlOmuRpyHmclTpIGXtotYyA1      STWWumUYatimyJMlBySHjQFDcARXBZuXqwPSLdNKHsuEHPzIhHtlEyFqdZCfGjjnfUWDoiRuiUOYyogDVDfnjJtOhHfIvPUTHEAgjnNaLGHBkSPLvYcAyTkkhwhwEmBOwDVVIaaVTRN1          1808201400010009
6815gjTTkGwXYheiZKrdRow1          cfVsHNibnUVfxcYWcBkWIyhaeSTQYEKjQ1                                                                                                                    1808201400017157
